Achillea filipendulina,high
Achillea ptarmica,high
Acorus calamus,high
Acyrthosiphon caraganae,high
Adelges piceae,high
Aegopodium podagraria,high
Agropyron cristatum,high
Agropyron desertorum,high
Agrostemma githago,high
Agrostis capillaris,high
Agrostis gigantea,high
Agrostis stolonifera,high
Aira caryophyllea,high
Alchemilla mollis,high
Alchemilla monticola,high
Alchemilla subcrenata,high
Aleochara villosa,high
Alisma plantago-aquatica,high
Alliaria petiolata,high
Allium fistulosum,high
Allium vineale,high
Allolobophora chlorotica,high
Alopecurus arundinaceus,high
Alopecurus geniculatus,high
Alopecurus pratensis,high
Alosa sapidissima,high
Alyssum alyssoides,high
Amara apricaria,high
Amara familiaris,high
Amaranthus albus,high
Amaranthus blitoides,high
Amaranthus retroflexus,high
Amsinckia lycopsoides,high
Amsinckia menziesii,high
Anthemis cotula,high
Anthoxanthum odoratum,high
Anthrenus verbasci,high
Apiosporina morbosa,high
Aporrectodea caliginosa,high
Aporrectodea rosea,high
Archips cerasivorana,high
Archips rosana,high
Arctium minus,high
Arion ater,high
Arion circumscriptus,high
Arion subfuscus,high
Armadillidium vulgare,high
Armoracia rusticana,high
Arrhenatherum elatius,high
Artemisia biennis,high
Artemisia vulgaris,high
Asperugo procumbens,high
Asterocytis ramosa,high
Astragalus cicer,high
Atriplex hortensis,high
Atriplex patula,high
Aulacorthum solani,high
Aurinia saxatilis,high
Avena fatua,high
Avena sativa,high
Badonnelia titei,high
Bellis perennis,high
Berteroa incana,high
Betula pendula,high
Bidens cernua,high
Bidens frondosa,high
Bimastos eiseni,high
Bison bison,high
Blattella germanica,high
Borago officinalis,high
Bos taurus,high
Botrylloides violaceus,high
Botryllus schlosseri,high
Bovicola caprae,high
Bradysia ocellaris,high
Brassica juncea,high
Brassica napus,high
Brassica rapa,high
Bromus briziformis,high
Bromus commutatus,high
Bromus hordeaceus,high
Bromus inermis,high
Bromus racemosus,high
Bromus secalinus,high
Bromus tectorum,high
Bugula neritina,high
Calendula officinalis,high
Calliphora grahami,high
Calystegia sepium,high
Camelina sativa,high
Campanula glomerata,high
Campanula medium,high
Campanula rapunculoides,high
Canis latrans,high
Canis lupus familiaris,high
Capitophorus elaeagni,high
Caprella mutica,high
Capsella bursa-pastoris,high
Caragana arborescens,high
Carcinus maenas,high
Cardamine hirsuta,high
Carex stipata,high
Castilleja tenuis,high
Caulacanthus ustulatus,high
Cavariella aegopodii,high
Cavariella pastinacae,high
Centaurea cyanus,high
Centaurea montana,high
Centaurea scabiosa,high
Centaurea stoebe,high
Centaurea stoebe ssp. micranthos,high
Ceramium sinicola,high
Cerastium fontanum,high
Cerastium fontanum ssp. vulgare,high
Cerastium glomeratum,high
Cerastium tomentosum,high
Ceratophyllus gallinae,high
Ceratophyllus zhovtyi,high
Cervus elaphus canadensis,high
Chaenorhinum minus,high
Chenopodium album,high
Chenopodium leptophyllum,high
Chenopodium simplex,high
Chilota porteri,high
Ciona intestinalis,high
Ciona savignyi,high
Cirsium arvense,high
Cirsium vulgare,high
Clematis tangutica,high
Cliona thoosina,high
Coccinella septempunctata,high
Collomia linearis,high
Columba livia,high
Conium maculatum,high
Conringia orientalis,high
Consolida ajacis,high
Convolvulus arvensis,high
Conyza canadensis,high
Cota tinctoria,high
Cotoneaster simonsii,high
Cotula coronopifolia,high
Crassostrea gigas,high
Crataegus monogyna,high
Crepis capillaris,high
Crepis tectorum,high
Cryptantha shackletteana,high
Cryptantha torreyana,high
Ctenocephalides felis,high
Cytisus scoparius,high
Dactylis glomerata,high
Daphne mezereum,high
Daucus carota,high
Delphinium elatum,high
Dendrobaena octaedra,high
Dermacentor variabilis,high
Dermestes lardarius,high
Deroceras agreste,high
Deroceras reticulatum,high
Deschampsia danthonioides,high
Deschampsia elongata,high
Descurainia sophia,high
Dianthus barbatus,high
Dianthus deltoides,high
Didemnum vexillum,high
